term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,model_label,term_label
z_embedding_shift,-0.05283862138215752,0.180996792236761,-0.29193125872109155,0.77532464687935565,-0.44719675443622614,0.34151951167191114,changed_top_lpm,Top-choice change (LPM),Embedding shift intensity (z)
z_lexical_similarity,-0.14815319583905376,0.189289902439782,-0.7826788113337695,0.44898603102311807,-0.5605804638013088,0.2642740721232012,changed_top_lpm,Top-choice change (LPM),Lexical similarity (z)
z_log_user_word_count,-0.05246708736139175,0.10985821768209982,-0.47758910046417663,0.6415239432046931,-0.291827581491526,0.1868934067687425,changed_top_lpm,Top-choice change (LPM),"User word count (log, z)"
z_duration_minutes,-0.12961479451929117,0.11427206172657789,-1.134264951212872,0.27883418117587144,-0.3785922286816845,0.11936263964310218,changed_top_lpm,Top-choice change (LPM),Conversation duration (z)
z_embedding_shift,-0.6986911108359292,0.5791951838991215,-1.2063137440687357,0.25094141611453963,-1.9606490083968047,0.5632667867249465,footrule_ols,Ranking distance (OLS),Embedding shift intensity (z)
z_lexical_similarity,-0.6962855850581005,0.6057333862052221,-1.149491840659744,0.27274815993374396,-2.016065258279813,0.6234940881636117,footrule_ols,Ranking distance (OLS),Lexical similarity (z)
z_log_user_word_count,0.26709952280575733,0.35154960376303407,0.7597776243997667,0.4620535809164624,-0.4988612641375719,1.0330603097490867,footrule_ols,Ranking distance (OLS),"User word count (log, z)"
z_duration_minutes,-0.6540166771115359,0.36567403758006767,-1.7885236847538921,0.09894608873116538,-1.4507519616672035,0.14271860744413178,footrule_ols,Ranking distance (OLS),Conversation duration (z)
z_embedding_shift,-0.01704807504499938,0.3197260009322872,-0.0533208903726597,0.958353629378515,-0.713671187854463,0.6795750377644643,clinic_gain_ols,Clinic rank gain (OLS),Embedding shift intensity (z)
z_lexical_similarity,0.1516835859243123,0.30829888444194475,0.492001734611776,0.631595313822905,-0.5200419788698912,0.8234091507185158,clinic_gain_ols,Clinic rank gain (OLS),Lexical similarity (z)
z_log_user_word_count,0.21012984581508115,0.17982952783167847,1.1684946757562749,0.2652974339767146,-0.18168503657757984,0.6019447282077421,clinic_gain_ols,Clinic rank gain (OLS),"User word count (log, z)"
initial_not_clinic,0.3068532990440126,0.4063906929137149,0.7550697011389577,0.46476940720051385,-0.5785959565337442,1.1923025546217694,clinic_gain_ols,Clinic rank gain (OLS),Initial top choice was not clinic
