user_id,initial_top_choice,final_top_choice,changed_top_choice,footrule_distance,initial_ranking,final_ranking,participant_name,user_word_count,assistant_word_count,message_count,assistant_question_count,duration_minutes,lexical_jaccard_similarity,themes_added,themes_removed,themes_retained,embedding_cosine_similarity,embedding_shift_intensity,changed_top_choice_num,initial_clinic_rank,final_clinic_rank,clinic_rank_gain,initial_not_clinic,log_user_word_count,z_embedding_shift,z_lexical_similarity,z_log_user_word_count,z_duration_minutes
3c5387b0da49,community_clinic,community_clinic,FALSE,0,community_clinic > food_pantry > urban_tree > animal_rescue,community_clinic > food_pantry > urban_tree > animal_rescue,Malachite Wise Wombat,301,1251,26,18,15.488216666666666,0.0652,"cost_effectiveness, institutional_support_gap",NA,"community_scale, healthcare_gap",0.4758127981991099,0.5241872018008902,0,1,1,0,0,5.707110264748875,1.6035215362627286,-1.265612380200587,0.13894033139437562,0.6852536613987613
9d9c3d6a7d9c,food_pantry,food_pantry,FALSE,2,food_pantry > community_clinic > animal_rescue > urban_tree,food_pantry > community_clinic > urban_tree > animal_rescue,Stellar Penguin,304,1150,24,19,9.1808,0.2143,NA,urgency_basic_needs,"community_scale, healthcare_gap",0.8108178628154625,0.18918213718453747,0,2,2,0,1,5.717027701406222,-1.8009842139057148,1.3533342277628613,0.15574387857643668,-1.3202588851993438
e384b04afce3,community_clinic,community_clinic,FALSE,0,community_clinic > food_pantry > animal_rescue > urban_tree,community_clinic > food_pantry > animal_rescue > urban_tree,Slate Bear,96,1021,24,18,6.306266666666667,0.2,NA,"community_scale, cost_effectiveness",healthcare_gap,0.629879765288112,0.370120234711888,0,1,1,0,0,4.564348191467836,0.037808265729932525,1.1021542378642881,-1.7972914873411066,-2.234248394736709
f80d4f54b108,community_clinic,community_clinic,FALSE,0,community_clinic > food_pantry > animal_rescue > urban_tree,community_clinic > food_pantry > animal_rescue > urban_tree,Brilliant Eagle,352,1015,24,14,13.7259,0.0256,institutional_support_gap,"community_scale, cost_effectiveness",healthcare_gap,0.47708124481104935,0.5229187551889507,0,1,1,0,0,5.863631175598097,1.590630884030127,-1.9611877368427906,0.40414056420713407,0.12490568173266176
61fecb490ab2,animal_rescue,animal_rescue,FALSE,0,animal_rescue > urban_tree > community_clinic > food_pantry,animal_rescue > urban_tree > community_clinic > food_pantry,Ivory Squirrel,99,1242,28,26,15.2013,0.2222,NA,"healthcare_gap, personal_connection","animal_welfare, community_scale",0.7976403189494798,0.20235968105052016,0,3,3,0,1,4.59511985013459,-1.66706676428085,1.4920979984061296,-1.7451537186673791,0.594025349518075
ad571f253120,food_pantry,community_clinic,TRUE,2,food_pantry > community_clinic > animal_rescue > urban_tree,community_clinic > food_pantry > animal_rescue > urban_tree,Peridot Fox,325,1045,20,12,11.060116666666666,0.1,NA,"cost_effectiveness, personal_connection","community_scale, healthcare_gap",0.5981167405464939,0.4018832594535061,1,2,1,1,1,5.783825182329737,0.3606015957335259,-0.6543491879998624,0.2689217753578252,-0.7227094678682766
15f012a0dc2c,urban_tree,urban_tree,FALSE,2,urban_tree > food_pantry > animal_rescue > community_clinic,urban_tree > food_pantry > community_clinic > animal_rescue,Ivory Lion,237,1128,26,16,12.079416666666669,0.0952,NA,"community_scale, cost_effectiveness",environment_quality_of_life,0.6163354069041826,0.38366459309581735,0,4,3,1,1,5.4680601411351315,0.17545348626782772,-0.7386613524413416,-0.2660927603013014,-0.39861181477509994
b7252e46e281,food_pantry,urban_tree,TRUE,4,food_pantry > community_clinic > urban_tree > animal_rescue,urban_tree > food_pantry > community_clinic > animal_rescue,Celadon Dynamic Falcon,200,1195,32,23,13.733116666666666,0.0714,"cost_effectiveness, environment_quality_of_life",urgency_basic_needs,community_scale,0.541599900573885,0.45840009942611504,1,2,3,-1,1,5.298317366548036,0.9349568129850819,-1.1567091677970094,-0.5536953757891805,0.1272003003236775
679457c68ee8,urban_tree,urban_tree,FALSE,0,urban_tree > food_pantry > animal_rescue > community_clinic,urban_tree > food_pantry > animal_rescue > community_clinic,Pearl Cheetah,183,2428,60,43,17.959866666666667,0.1333,NA,NA,environment_quality_of_life,0.7069584342568016,0.2930415657431984,0,4,4,0,1,5.209486152841421,-0.7455075686732001,-0.06943354718710032,-0.7042059908131882,1.471141981096346
116a3ebe9814,community_clinic,community_clinic,FALSE,0,community_clinic > food_pantry > animal_rescue > urban_tree,community_clinic > food_pantry > animal_rescue > urban_tree,Beryl Fox,331,1133,26,16,12.5372,0.175,urgency_basic_needs,community_scale,"cost_effectiveness, healthcare_gap",0.6166919458103709,0.3833080541896291,0,1,1,0,0,5.802118375377063,0.17183014177401607,0.6630283813982502,0.29991673333959196,-0.253054565723296
ec338cde8cdc,animal_rescue,animal_rescue,FALSE,2,animal_rescue > food_pantry > community_clinic > urban_tree,animal_rescue > community_clinic > food_pantry > urban_tree,Serene Badger,1121,1201,22,13,12.571183333333332,0.1667,"community_scale, healthcare_gap",cost_effectiveness,"animal_welfare, institutional_support_gap",0.6882041348446305,0.3117958651553695,0,3,2,1,1,7.02197642307216,-0.5549160614605043,0.5172385970515256,2.366775637316294,-0.24224919088015273
8d4b92f5ba5d,animal_rescue,community_clinic,TRUE,4,animal_rescue > food_pantry > community_clinic > urban_tree,community_clinic > animal_rescue > food_pantry > urban_tree,Alabaster Dolphin,254,1001,26,18,10.590316666666666,0.1967,urgency_basic_needs,environment_quality_of_life,"animal_welfare, community_scale, healthcare_gap",0.7237001891530942,0.2762998108469058,1,3,1,2,1,5.537334267018537,-0.9156464914313147,1.0441896248107714,-0.14871857551983866,-0.8720875483383774
60d929ceffa5,food_pantry,food_pantry,FALSE,0,food_pantry > community_clinic > animal_rescue > urban_tree,food_pantry > community_clinic > animal_rescue > urban_tree,Crimson Keen Llama,258,1072,28,19,14.17645,0.1522,NA,community_scale,urgency_basic_needs,0.6410650920427766,0.3589349079572234,0,2,2,0,1,5.552959584921617,-0.07586317770743257,0.26254560030122415,-0.12224391521287052,0.2681630128433562
84b4783bae78,food_pantry,food_pantry,FALSE,0,food_pantry > community_clinic > urban_tree > animal_rescue,food_pantry > community_clinic > urban_tree > animal_rescue,Lazuli Elk,300,1139,24,16,17.08135,0.0952,institutional_support_gap,"community_scale, urgency_basic_needs",NA,0.5385112438257375,0.46148875617426255,0,2,2,0,1,5.703782474656201,0.9663454419044892,-0.7386613524413416,0.13330191092684196,1.1918079382533102
455dbb067ce7,food_pantry,food_pantry,FALSE,0,food_pantry > urban_tree > community_clinic > animal_rescue,food_pantry > urban_tree > community_clinic > animal_rescue,Proud Panda,267,1265,28,23,16.1141,0.1081,personal_connection,"healthcare_gap, urgency_basic_needs",NA,0.6510052850593088,0.34899471494069123,0,3,3,0,1,5.58724865840025,-0.17688088716004363,-0.5120724105048663,-0.06414643660678877,0.8842601555059599
8948e22761d2,community_clinic,community_clinic,FALSE,2,community_clinic > food_pantry > animal_rescue > urban_tree,community_clinic > food_pantry > urban_tree > animal_rescue,Cobalt Eager Wombat,747,1275,28,20,11.1558,0.1455,"environment_quality_of_life, institutional_support_gap",NA,"community_scale, cost_effectiveness, healthcare_gap, urgency_basic_needs",0.7029358449781792,0.2970641550218208,0,1,1,0,0,6.616065185132817,-0.7046278036304853,0.14485987076832585,1.6790224532926772,-0.6922858989744618
