synthetic_group_id,sampled_from_unique_group,group_members,phase,condorcet_exists,condorcet_winner,group_outcome_rule,group_outcome,outcome_matches_condorcet
1,1,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,61fecb490ab2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
1,1,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,61fecb490ab2",after,TRUE,community_clinic,plurality,community_clinic,TRUE
2,2,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,ad571f253120",before,TRUE,community_clinic,plurality,community_clinic,TRUE
2,2,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,ad571f253120",after,TRUE,community_clinic,plurality,community_clinic,TRUE
3,3,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,15f012a0dc2c",before,TRUE,community_clinic,plurality,community_clinic,TRUE
3,3,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,15f012a0dc2c",after,TRUE,community_clinic,plurality,community_clinic,TRUE
4,4,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,b7252e46e281",before,TRUE,community_clinic,plurality,community_clinic,TRUE
4,4,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,b7252e46e281",after,TRUE,community_clinic,plurality,community_clinic,TRUE
5,5,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,679457c68ee8",before,TRUE,community_clinic,plurality,community_clinic,TRUE
5,5,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,679457c68ee8",after,TRUE,community_clinic,plurality,community_clinic,TRUE
6,6,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,116a3ebe9814",before,TRUE,community_clinic,plurality,community_clinic,TRUE
6,6,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,116a3ebe9814",after,TRUE,community_clinic,plurality,community_clinic,TRUE
7,7,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,ec338cde8cdc",before,TRUE,community_clinic,plurality,community_clinic,TRUE
7,7,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,ec338cde8cdc",after,TRUE,community_clinic,plurality,community_clinic,TRUE
8,8,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,8d4b92f5ba5d",before,TRUE,community_clinic,plurality,community_clinic,TRUE
8,8,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,8d4b92f5ba5d",after,TRUE,community_clinic,plurality,community_clinic,TRUE
9,9,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,60d929ceffa5",before,TRUE,community_clinic,plurality,community_clinic,TRUE
9,9,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,60d929ceffa5",after,TRUE,community_clinic,plurality,community_clinic,TRUE
10,10,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,84b4783bae78",before,TRUE,community_clinic,plurality,community_clinic,TRUE
10,10,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,84b4783bae78",after,TRUE,community_clinic,plurality,community_clinic,TRUE
11,11,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,455dbb067ce7",before,TRUE,community_clinic,plurality,community_clinic,TRUE
11,11,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,455dbb067ce7",after,TRUE,community_clinic,plurality,community_clinic,TRUE
12,12,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,f80d4f54b108,8948e22761d2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
