theme,mean_initial_weight,mean_final_weight,mean_delta,mean_abs_delta,share_initial_present,share_final_present
local_community_focus,0.2696078431372549,0.2549019607843137,-0.014705882352941164,0.31862745098039214,0.7647058823529411,0.35294117647058826
deservingness_targeting,0.2696078431372549,0.11764705882352941,-0.15196078431372548,0.2892156862745098,0.7058823529411765,0.17647058823529413
moral_duty_compassion,0.06862745098039215,0.19607843137254902,0.12745098039215685,0.23529411764705882,0.23529411764705882,0.29411764705882354
cost_effectiveness_impact,0.10294117647058823,0.09803921568627451,-0.004901960784313728,0.1715686274509804,0.17647058823529413,0.17647058823529413
urgency_basic_needs,0.10784313725490195,0.09803921568627451,-0.009803921568627449,0.14705882352941177,0.35294117647058826,0.17647058823529413
personal_connection_identity,0.049019607843137254,0.058823529411764705,0.009803921568627453,0.10784313725490197,0.11764705882352941,0.058823529411764705
effectiveness_skepticism,0.0392156862745098,0,-0.0392156862745098,0.0392156862745098,0.11764705882352941,0
visibility_salience,0.0196078431372549,0,-0.0196078431372549,0.0196078431372549,0.058823529411764705,0
long_term_structural,0.014705882352941176,0,-0.014705882352941176,0.014705882352941176,0.058823529411764705,0
fairness_equity,0,0,0,0,0,0
global_scale_impact,0,0,0,0,0,0
short_term_relief,0,0,0,0,0,0
skepticism_uncertainty,0,0,0,0,0,0
tradeoffs_balancing,0,0,0,0,0,0
