metric,value
n_included,18
n_excluded,0
top_choice_switch,0.2222222222222222
top_choice_switch_n,18
top_choice_switch_successes,4
top_choice_switch_ci_low,0.09000928108601697
top_choice_switch_ci_high,0.4521458431621262
top_choice_switch_ci_method,wilson
any_edit,0.4444444444444444
any_edit_n,18
any_edit_successes,8
any_edit_ci_low,0.24559518127005633
any_edit_ci_high,0.6628358435795723
any_edit_ci_method,wilson
kendall_movement_n,18
kendall_movement_mean,0.09259259259259256
kendall_movement_sd,0.11746536441576094
kendall_movement_median,0.0
kendall_movement_min,0.0
kendall_movement_max,0.33333333333333326
kendall_movement_ci_low,0.034178441129651134
kendall_movement_ci_high,0.151006744055534
kendall_movement_ci_method,t_based
footrule_distance_normalized_n,18
footrule_distance_normalized_mean,0.1388888888888889
footrule_distance_normalized_sd,0.17619804662364147
footrule_distance_normalized_median,0.0
footrule_distance_normalized_min,0.0
footrule_distance_normalized_max,0.5
footrule_distance_normalized_ci_low,0.05126766169447672
footrule_distance_normalized_ci_high,0.22651011608330107
footrule_distance_normalized_ci_method,t_based
embedding_shift_intensity_n,18
embedding_shift_intensity_mean,0.36994069247247235
embedding_shift_intensity_sd,0.1008754806041457
embedding_shift_intensity_median,0.3665318996086596
embedding_shift_intensity_min,0.1891821371845374
embedding_shift_intensity_max,0.5136750763368645
embedding_shift_intensity_ci_low,0.31977649613923437
embedding_shift_intensity_ci_high,0.42010488880571034
embedding_shift_intensity_ci_method,t_based
embedding_cosine_similarity_n,18
embedding_cosine_similarity_mean,0.6300593075275276
embedding_cosine_similarity_sd,0.10087548060414571
embedding_cosine_similarity_median,0.6334681003913404
embedding_cosine_similarity_min,0.4863249236631355
embedding_cosine_similarity_max,0.8108178628154625
embedding_cosine_similarity_ci_low,0.5798951111942896
embedding_cosine_similarity_ci_high,0.6802235038607656
embedding_cosine_similarity_ci_method,t_based
directional_learning_centroid_n,18
directional_learning_centroid_mean,-0.06159843246497202
directional_learning_centroid_sd,0.11594170754812848
directional_learning_centroid_median,-0.01812610054144037
directional_learning_centroid_min,-0.275319625673663
directional_learning_centroid_max,0.09199310001742034
directional_learning_centroid_ci_low,-0.11925488719333888
directional_learning_centroid_ci_high,-0.003941977736605158
directional_learning_centroid_ci_method,t_based
directional_learning_nearest_exposed_n,18
directional_learning_nearest_exposed_mean,-0.15438554752058556
directional_learning_nearest_exposed_sd,0.13337189716218875
directional_learning_nearest_exposed_median,-0.15090520405175767
directional_learning_nearest_exposed_min,-0.37787378094695995
directional_learning_nearest_exposed_max,0.05757279653125269
directional_learning_nearest_exposed_ci_low,-0.220709831623233
directional_learning_nearest_exposed_ci_high,-0.08806126341793812
directional_learning_nearest_exposed_ci_method,t_based
embedding_shift_intensity_n,18
embedding_shift_intensity_mean,0.36994069247247235
embedding_shift_intensity_sd,0.1008754806041457
embedding_shift_intensity_median,0.3665318996086596
embedding_shift_intensity_min,0.1891821371845374
embedding_shift_intensity_max,0.5136750763368645
embedding_shift_intensity_ci_low,0.31977649613923437
embedding_shift_intensity_ci_high,0.42010488880571034
embedding_shift_intensity_ci_method,t_based
embedding_cosine_similarity_n,18
embedding_cosine_similarity_mean,0.6300593075275276
embedding_cosine_similarity_sd,0.10087548060414571
embedding_cosine_similarity_median,0.6334681003913404
embedding_cosine_similarity_min,0.4863249236631355
embedding_cosine_similarity_max,0.8108178628154625
embedding_cosine_similarity_ci_low,0.5798951111942896
embedding_cosine_similarity_ci_high,0.6802235038607656
embedding_cosine_similarity_ci_method,t_based
directional_learning_centroid_n,18
directional_learning_centroid_mean,-0.06159843246497202
directional_learning_centroid_sd,0.11594170754812848
directional_learning_centroid_median,-0.01812610054144037
directional_learning_centroid_min,-0.275319625673663
directional_learning_centroid_max,0.09199310001742034
directional_learning_centroid_ci_low,-0.11925488719333888
directional_learning_centroid_ci_high,-0.003941977736605158
directional_learning_centroid_ci_method,t_based
directional_learning_nearest_exposed_n,18
directional_learning_nearest_exposed_mean,-0.15438554752058556
directional_learning_nearest_exposed_sd,0.13337189716218875
directional_learning_nearest_exposed_median,-0.15090520405175767
directional_learning_nearest_exposed_min,-0.37787378094695995
directional_learning_nearest_exposed_max,0.05757279653125269
directional_learning_nearest_exposed_ci_low,-0.220709831623233
directional_learning_nearest_exposed_ci_high,-0.08806126341793812
directional_learning_nearest_exposed_ci_method,t_based
