Submission id,Age,Archived at,Completed at,Completion code,Country of birth,Country of residence,Custom study tncs accepted at,Employment status,Ethnicity simplified,Fluent languages,Language,Nationality,Participant id,Reviewed at,Sex,Started at,Status,Student status,Time taken,Total approvals,URL
69ff80b552806fbe409abd5b,41,2026-05-09T18:58:57.190514Z,2026-05-09T18:58:56.773000Z,NOCODE,United States,United States,Not Applicable,Part-Time,White,English,English,United States,69f19e8f651a0a0e96b3faa0,2026-05-09T20:06:40.823000Z,Female,2026-05-09T18:45:18.024000Z,APPROVED,Yes,819.0,192,https://maria-milosh.github.io/prolific1.html
69ff818a996f4d65a57c80c2,CONSENT_REVOKED,2026-05-09T20:06:56.611711Z,,,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,6757069f8e2b810b4fabd66b,,CONSENT_REVOKED,2026-05-09T18:48:49.041000Z,RETURNED,CONSENT_REVOKED,,4559,
69ff82537d9e65cdc405a854,44,2026-05-09T19:22:20.657662Z,2026-05-09T19:22:20.169000Z,NOCODE,United States,United States,Not Applicable,Unemployed (and job seeking),White,English,English,United States,69f0d473b8a80084a75dbe58,2026-05-09T20:12:24.806000Z,Male,2026-05-09T18:52:14.271000Z,APPROVED,No,1806.0,160,https://maria-milosh.github.io/prolific2.html
69ff8293d1c29ef357628034,CONSENT_REVOKED,2026-05-09T20:06:56.612665Z,,,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,69e0d979c41f97f199ae7a2e,,CONSENT_REVOKED,2026-05-09T18:53:10.323000Z,RETURNED,CONSENT_REVOKED,,381,
69ff8802bafda0027f8b8866,37,2026-05-09T19:26:58.612911Z,2026-05-09T19:26:58.060000Z,NOCODE,United States,United States,Not Applicable,Full-Time,Prefer not to say,English,English,United States,69fe8ce7c7079966a2443b29,2026-05-09T20:13:10.058000Z,Male,2026-05-09T19:16:24.371000Z,APPROVED,No,634.0,22,https://maria-milosh.github.io/prolific2.html
69ff8c526e0ca2bff9ef1a4e,48,2026-05-09T20:01:55.235000Z,2026-05-09T20:01:54.590000Z,NOCODE,United States,United States,Not Applicable,Unemployed (and job seeking),Black,English,English,United States,5e2c7806bb1a6e000cf7f2e8,2026-05-09T20:09:09Z,Male,2026-05-09T19:34:53.232000Z,APPROVED,No,1622.0,7671,https://maria-milosh.github.io/prolific1.html
69ff8df3c1937205b9600637,38,2026-05-09T19:53:34.229245Z,2026-05-09T19:53:33.787000Z,NOCODE,United States,United States,Not Applicable,Full-Time,White,English,English,United States,69fba244f4fedeaab559df20,2026-05-09T20:08:24.089000Z,Female,2026-05-09T19:41:44.615000Z,APPROVED,No,710.0,12,https://maria-milosh.github.io/prolific1.html
69fff160f5b8a6e9b97c2d7b,42,2026-05-10T03:22:44.865817Z,2026-05-10T03:22:44.438000Z,NOCODE,United States,United States,Not Applicable,Part-Time,White,English,English,United States,69d17b69a03ce03c5863ae3c,2026-05-10T03:49:47.804000Z,Female,2026-05-10T02:46:02.967000Z,APPROVED,No,2202.0,9,https://maria-milosh.github.io/prolific2.html
69fff1627310b444499abd5e,29,2026-05-10T03:02:46.348107Z,2026-05-10T03:02:45.950000Z,NOCODE,United States,United States,Not Applicable,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,"Spanish, English",English,United States,69f39df5fdef5b2e2a84011b,2026-05-10T03:55:32.061000Z,Female,2026-05-10T02:45:57.797000Z,APPROVED,No,1009.0,319,https://maria-milosh.github.io/prolific1.html
69fff16e67d6d930401765d4,CONSENT_REVOKED,,,,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,69fa7312448db23e917dc745,,CONSENT_REVOKED,2026-05-10T02:46:12.492000Z,RETURNED,CONSENT_REVOKED,,70,
69fff177136b31ca8844e5af,23,2026-05-10T03:08:00.353189Z,2026-05-10T03:07:59.983000Z,NOCODE,United States,United States,Not Applicable,Part-Time,Mixed,"English, French",English,United States,69fe37c03e3904ce20a603be,2026-05-10T04:01:28.635000Z,Male,2026-05-10T02:46:20.441000Z,APPROVED,No,1300.0,2,https://maria-milosh.github.io/prolific1.html
69fff17dd2e93df5f28fb4d4,41,2026-05-10T03:06:50.622513Z,2026-05-10T03:06:50.243000Z,NOCODE,Saudi Arabia,United States,Not Applicable,Unemployed (and job seeking),Asian,"Tagalog-Filipino, English",English,United States,69f7a582e15e9f04b402220d,2026-05-10T03:46:41.019000Z,Male,2026-05-10T02:46:37.253000Z,APPROVED,No,1213.0,86,https://maria-milosh.github.io/prolific2.html
69fff18284b5e69d7f8a57bf,24,2026-05-10T03:01:36.468985Z,2026-05-10T03:01:36.101000Z,NOCODE,United States,United States,Not Applicable,"Not in paid work (e.g. homemaker', 'retired or disabled)",Black,English,English,United States,69d80b5299d9157da91c5d67,2026-05-10T03:52:34.490000Z,Female,2026-05-10T02:46:31.165000Z,APPROVED,No,905.0,211,https://maria-milosh.github.io/prolific1.html
