cell,shape_class,n_per_arm,delta,power
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,50,-0.0018272392000000526,0.06931352237127318
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,100,-0.0018272392000000526,0.08899989274363977
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,150,-0.0018272392000000526,0.10898942013185571
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,200,-0.0018272392000000526,0.12921688591919572
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,250,-0.0018272392000000526,0.14962139138442404
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,300,-0.0018272392000000526,0.17014620137537606
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,350,-0.0018272392000000526,0.19073858533953764
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,400,-0.0018272392000000526,0.21134965679111214
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,450,-0.0018272392000000526,0.23193421217363203
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,500,-0.0018272392000000526,0.25245056996650705
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,550,-0.0018272392000000526,0.27286041078238027
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,600,-0.0018272392000000526,0.29312861910917465
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,650,-0.0018272392000000526,0.3132231272656776
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,700,-0.0018272392000000526,0.3331147620618877
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,750,-0.0018272392000000526,0.3527770945846186
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,800,-0.0018272392000000526,0.3721862934645396
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,850,-0.0018272392000000526,0.3913209819224551
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,900,-0.0018272392000000526,0.4101620988397759
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,950,-0.0018272392000000526,0.4286927640503837
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1000,-0.0018272392000000526,0.446898148008074
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1050,-0.0018272392000000526,0.4647653459451038
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1100,-0.0018272392000000526,0.482283256602745
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1150,-0.0018272392000000526,0.4994424655838268
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1200,-0.0018272392000000526,0.5162351333497558
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1250,-0.0018272392000000526,0.5326548878601328
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1300,-0.0018272392000000526,0.5486967218316162
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1350,-0.0018272392000000526,0.5643568945738273
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1400,-0.0018272392000000526,0.5796328383436751
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1450,-0.0018272392000000526,0.5945230691452468
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1500,-0.0018272392000000526,0.6090271018901988
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1550,-0.0018272392000000526,0.6231453698231948
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1600,-0.0018272392000000526,0.6368791481082096
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1650,-0.0018272392000000526,0.6502304814642973
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1700,-0.0018272392000000526,0.6632021157335568
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1750,-0.0018272392000000526,0.6757974332593912
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1800,-0.0018272392000000526,0.6880203919496235
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1850,-0.0018272392000000526,0.6998754678964912
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1900,-0.0018272392000000526,0.7113676014238721
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,1950,-0.0018272392000000526,0.7225021464312308
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2000,-0.0018272392000000526,0.7332848229035975
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2050,-0.0018272392000000526,0.7437216724573319
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2100,-0.0018272392000000526,0.753819016792417
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2150,-0.0018272392000000526,0.7635834189234872
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2200,-0.0018272392000000526,0.7730216470636666
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2250,-0.0018272392000000526,0.7821406410375223
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2300,-0.0018272392000000526,0.7909474811019792
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2350,-0.0018272392000000526,0.799449359056813
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2400,-0.0018272392000000526,0.8076535515293642
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2450,-0.0018272392000000526,0.8155673953212714
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2500,-0.0018272392000000526,0.8231982647083598
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2550,-0.0018272392000000526,0.8305535505882297
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2600,-0.0018272392000000526,0.837640641373615
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2650,-0.0018272392000000526,0.8444669055331321
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2700,-0.0018272392000000526,0.851039675684638
uniform_K4 / diffuse_PL,RMS=3pp Outcome-1 alternative,2750,-0.0018272392000000526,0.8573662341500344
