control_dgp,tau_shape,n_per_arm,lambda,rank,crit_wald,power_wald,crit_tmax,power_tmax,power_rw_any
phase1_empirical,diffuse_PL,100,2.2840133205043625,6,12.591587243743978,0.162520556858209,2.584776622879401,0.124,0.123
phase1_empirical,diffuse_PL,150,3.426019980756541,6,12.591587243743978,0.23260510791156586,2.584776622879401,0.1713,0.1756
phase1_empirical,diffuse_PL,200,4.568026641008725,6,12.591587243743978,0.30734601874124345,2.584776622879401,0.21095,0.223
phase1_empirical,diffuse_PL,250,5.710033301260907,6,12.591587243743978,0.383573200675126,2.584776622879401,0.25905,0.2662
phase1_empirical,diffuse_PL,300,6.852039961513082,6,12.591587243743978,0.4585939478285128,2.584776622879401,0.3111,0.3134
phase1_empirical,diffuse_PL,350,7.994046621765261,6,12.591587243743978,0.5302897132724815,2.584776622879401,0.3625,0.3554
phase1_empirical,diffuse_PL,400,9.13605328201745,6,12.591587243743978,0.5971295363097799,2.584776622879401,0.4141,0.4094
phase1_empirical,diffuse_PL,450,10.27805994226962,6,12.591587243743978,0.6581275279043743,2.584776622879401,0.4602,0.4614
phase1_empirical,diffuse_PL,500,11.420066602521814,6,12.591587243743978,0.7127677507709211,2.584776622879401,0.5072,0.5056
phase1_empirical,diffuse_PL,550,12.562073262773986,6,12.591587243743978,0.760914617551613,2.584776622879401,0.5534,0.5622
phase1_empirical,diffuse_PL,600,13.704079923026164,6,12.591587243743978,0.8027217198868934,2.584776622879401,0.60005,0.5892
phase1_empirical,diffuse_PL,650,14.84608658327834,6,12.591587243743978,0.8385474243224247,2.584776622879401,0.633,0.6358
phase1_empirical,diffuse_PL,700,15.988093243530521,6,12.591587243743978,0.8688818992892838,2.584776622879401,0.6706,0.6696
phase1_empirical,diffuse_PL,750,17.13009990378271,6,12.591587243743978,0.8942875122218237,2.584776622879401,0.7071,0.6972
phase1_empirical,diffuse_PL,800,18.2721065640349,6,12.591587243743978,0.9153526679175975,2.584776622879401,0.7371,0.747
phase1_empirical,diffuse_PL,850,19.41411322428707,6,12.591587243743978,0.9326579983976451,2.584776622879401,0.75985,0.7778
phase1_empirical,diffuse_PL,900,20.55611988453924,6,12.591587243743978,0.946753195142469,2.584776622879401,0.78915,0.8074
phase1_empirical,diffuse_PL,950,21.698126544791442,6,12.591587243743978,0.958142541804256,2.584776622879401,0.8188,0.8206
phase1_empirical,diffuse_PL,1000,22.840133205043628,6,12.591587243743978,0.9672772282721578,2.584776622879401,0.8417,0.847
phase1_empirical,diffuse_PL,1050,23.98213986529578,6,12.591587243743978,0.9745527023128124,2.584776622879401,0.85745,0.8748
phase1_empirical,diffuse_PL,1100,25.12414652554797,6,12.591587243743978,0.9803095671028107,2.584776622879401,0.8778,0.8808
phase1_empirical,diffuse_PL,1150,26.266153185800153,6,12.591587243743978,0.9848368095602801,2.584776622879401,0.89135,0.8948
phase1_empirical,diffuse_PL,1200,27.408159846052328,6,12.591587243743978,0.9883764121602615,2.584776622879401,0.9075,0.9062
