k,option,p_cond_T_pre,p_cond_T_post,p_cond_C_pre,p_cond_C_post,did
3,animal_rescue,0.11560693641618497,0.050314465408805034,0.12882367570256156,0.1287596321153368,-0.06522842742015518
3,community_clinic,0.3674649050371594,0.5293501048218029,0.2810246207411092,0.23564504101416853,0.20726477951158415
3,food_pantry,0.49236168455821633,0.3691823899371069,0.5894056204924149,0.6348496147153865,-0.16862328884408107
3,urban_tree,0.024566473988439308,0.05115303983228511,7.460830639144492e-4,7.457121551081282e-4,0.026586936752652127
5,animal_rescue,0.062468257998984256,0.020149832084732627,0.06552849610846095,0.06544633901705116,-0.04223626882284183
5,community_clinic,0.35500253936008125,0.5572203564970292,0.24002008536279187,0.18906720160481444,0.2531707008949253
5,food_pantry,0.5769426104621636,0.40299664169465255,0.6944514185287471,0.7454864593781344,-0.22498100961689826
5,urban_tree,0.00558659217877095,0.019633169723585638,0,0,0.014046577544814687
7,animal_rescue,0.02373138096440293,0.0058301647655259825,0.03182957393483709,0.03180565990483346,-0.017877302168873316
7,community_clinic,0.342085331986872,0.5678073510773131,0.20075187969924813,0.1424993739043326,0.28397452488535657
7,food_pantry,0.6326685180509972,0.4200253485424588,0.7674185463659148,0.8256949661908339,-0.27091958933345756
7,urban_tree,0.0015147689977278464,0.0063371356147021544,0,0,0.004822366616974308
