k,rule,option,p_treated_pre,p_treated_post,p_control_pre,p_control_post,delta_treated,delta_control,did
3,plurality,animal_rescue,0.37540322580645163,0.22096774193548388,0.3226600985221675,0.36724137931034484,-0.15443548387096775,0.04458128078817736,-0.1990167646591451
3,plurality,community_clinic,0.38306451612903225,0.5604838709677419,0.3793103448275862,0.2357142857142857,0.17741935483870963,-0.14359605911330048,0.3210154139520101
3,plurality,food_pantry,0.22379032258064516,0.18387096774193548,0.29802955665024633,0.39704433497536945,-0.039919354838709675,0.09901477832512312,-0.1389341331638328
3,plurality,urban_tree,0.017741935483870968,0.03467741935483871,0,0,0.01693548387096774,0,0.01693548387096774
3,borda,animal_rescue,0.11370967741935484,0.07641129032258065,0.11896551724137931,0.13251231527093596,-0.03729838709677419,0.013546798029556648,-0.050845185126330836
3,borda,community_clinic,0.3814516129032258,0.5258064516129032,0.3519704433497537,0.23448275862068965,0.14435483870967736,-0.11748768472906404,0.26184252343874137
3,borda,food_pantry,0.4935483870967742,0.36350806451612905,0.5285714285714286,0.632512315270936,-0.13004032258064513,0.1039408866995074,-0.23398120928015254
3,borda,urban_tree,0.01129032258064516,0.034274193548387094,4.926108374384236e-4,4.926108374384236e-4,0.02298387096774193,0,0.02298387096774193
3,irv,animal_rescue,0.11290322580645161,0.03467741935483871,0.09359605911330049,0.12758620689655173,-0.0782258064516129,0.03399014778325124,-0.11221595423486413
3,irv,community_clinic,0.3951612903225806,0.5181451612903226,0.3556650246305419,0.24458128078817734,0.12298387096774199,-0.11108374384236455,0.23406761481010654
3,irv,food_pantry,0.4475806451612903,0.3616935483870968,0.5391625615763547,0.6179802955665025,-0.08588709677419354,0.0788177339901478,-0.16470483076434134
3,irv,urban_tree,0.04435483870967742,0.08548387096774193,0.011576354679802956,0.009852216748768473,0.04112903225806451,-0.0017241379310344827,0.042853170189098996
3,copeland,animal_rescue,0.1217741935483871,0.07076612903225807,0.11182266009852217,0.13251231527093596,-0.051008064516129034,0.020689655172413793,-0.07169771968854283
3,copeland,community_clinic,0.37056451612903224,0.5177419354838709,0.34679802955665023,0.2334975369458128,0.1471774193548387,-0.11330049261083744,0.26047791196567616
3,copeland,food_pantry,0.48366935483870965,0.3622983870967742,0.5406403940886699,0.6332512315270936,-0.12137096774193545,0.09261083743842369,-0.21398180518035914
3,copeland,urban_tree,0.023991935483870967,0.049193548387096775,7.389162561576355e-4,7.389162561576355e-4,0.02520161290322581,0,0.02520161290322581
5,plurality,animal_rescue,0.257,0.08775,0.20825,0.267,-0.16925,0.058750000000000024,-0.22800000000000004
5,plurality,community_clinic,0.4985,0.701,0.50525,0.3195,0.20249999999999996,-0.18574999999999997,0.38824999999999993
5,plurality,food_pantry,0.227,0.18425,0.2865,0.4135,-0.04275000000000001,0.127,-0.16975
5,plurality,urban_tree,0.0175,0.027,0,0,0.009499999999999998,0,0.009499999999999998
5,borda,animal_rescue,0.05925,0.0335,0.06125,0.0695,-0.025749999999999995,0.008250000000000007,-0.034
5,borda,community_clinic,0.3795,0.5735,0.2975,0.1655,0.194,-0.13199999999999998,0.32599999999999996
5,borda,food_pantry,0.55875,0.3805,0.64125,0.765,-0.17824999999999996,0.12375000000000003,-0.302
5,borda,urban_tree,0.0025,0.0125,0,0,0.01,0,0.01
5,irv,animal_rescue,0.07825,0.02375,0.0615,0.07975,-0.0545,0.018250000000000002,-0.07275000000000001
5,irv,community_clinic,0.40475,0.59475,0.364,0.219,0.19,-0.145,0.33499999999999996
5,irv,food_pantry,0.50125,0.34325,0.5745,0.70125,-0.15799999999999997,0.12675000000000003,-0.28475
5,irv,urban_tree,0.01575,0.03825,0,0,0.0225,0,0.0225
5,copeland,animal_rescue,0.06775,0.02925,0.0655,0.076,-0.038500000000000006,0.010499999999999995,-0.049
5,copeland,community_clinic,0.36775,0.55225,0.28675,0.16975,0.1845,-0.11699999999999999,0.3015
5,copeland,food_pantry,0.558,0.39625,0.64775,0.75425,-0.16175000000000006,0.10649999999999993,-0.26825
5,copeland,urban_tree,0.0065,0.02225,0,0,0.01575,0,0.01575
7,plurality,animal_rescue,0.2275,0.067,0.138,0.19875,-0.1605,0.06075,-0.22125
7,plurality,community_clinic,0.5025,0.7375,0.53875,0.28175,0.2350000000000001,-0.25699999999999995,0.49200000000000005
7,plurality,food_pantry,0.26525,0.18075,0.32325,0.5195,-0.08449999999999999,0.19624999999999998,-0.28074999999999994
7,plurality,urban_tree,0.00475,0.01475,0,0,0.009999999999999998,0,0.009999999999999998
7,borda,animal_rescue,0.02775,0.01875,0.02425,0.029,-0.009000000000000001,0.004750000000000001,-0.013750000000000002
7,borda,community_clinic,0.34025,0.5795,0.2805,0.12675,0.23925000000000002,-0.15375000000000003,0.393
7,borda,food_pantry,0.63175,0.398,0.69525,0.84425,-0.23375,0.1489999999999999,-0.3827499999999999
7,borda,urban_tree,2.5e-4,0.00375,0,0,0.0034999999999999996,0,0.0034999999999999996
7,irv,animal_rescue,0.05375,0.013,0.02975,0.0355,-0.04075,0.005749999999999998,-0.0465
